Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb_x,Fouled,Off,Disp,UnsTch,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_y,Blocks,AvgP,PS%,year
Eden Hazard,Chelsea,32,Forward,38,3379,14,9,2.0526315789473686,2.631578947368421,4.7631578947368425,2.973684210526316,0.1052631578947368,2.710526315789474,2.1052631578947367,7.9568421052631555,0.7368421052631579,0.5789473684210527,0.3157894736842105,0.0,0.2368421052631578,0.6052631578947368,0.0263157894736842,58.36842105263158,86.83498647430116,2014
Alexis Sanchez,Arsenal,34,Forward,35,2953,16,8,3.4857142857142858,2.342857142857143,3.2857142857142856,2.057142857142857,0.2285714285714285,3.3142857142857145,2.1142857142857143,7.810857142857141,1.9714285714285715,1.1714285714285717,1.2571428571428571,0.0,0.1714285714285714,1.542857142857143,0.0,42.0,76.80272108843538,2014
Sergio Aguero,Man City,35,Forward,33,2540,26,8,4.484848484848484,1.0,2.636363636363636,0.7575757575757576,1.0,2.727272727272727,1.93939393939394,7.671515151515152,0.6666666666666666,0.3939393939393939,0.5454545454545454,0.0,0.0606060606060606,0.5151515151515151,0.0,25.24242424242424,85.59423769507804,2014
Cesc Fabregas,Chelsea,36,Midfielder,34,2890,3,18,1.2647058823529411,2.794117647058824,1.0588235294117647,1.0588235294117647,0.0294117647058823,1.411764705882353,1.0,7.618529411764706,2.588235294117647,0.6764705882352942,0.8823529411764706,0.0,0.8823529411764706,2.117647058823529,0.1470588235294117,80.6470588235294,85.19328956965718,2014
Santi Cazorla,Arsenal,38,Midfielder,37,2992,7,11,2.5135135135135136,2.108108108108108,2.351351351351352,1.648648648648649,0.054054054054054,1.4864864864864864,1.0,7.599459459459461,1.5945945945945943,1.0810810810810811,0.5405405405405406,0.0,0.6486486486486487,1.4594594594594594,0.1351351351351351,64.02702702702703,89.02490502321655,2014
Mesut Ozil,Arsenal,34,Midfielder,22,1860,4,5,1.318181818181818,3.136363636363636,2.363636363636364,1.181818181818182,0.4090909090909091,1.681818181818182,1.4545454545454546,7.569545454545454,1.2727272727272727,0.4545454545454545,0.4545454545454545,0.0,0.2727272727272727,0.6818181818181818,0.0454545454545454,63.59090909090909,88.27734095782702,2014
Mile Jedinak,Crystal Palace,39,Midfielder,24,2081,5,3,1.2916666666666667,0.5833333333333334,0.125,1.3333333333333333,0.0,0.375,0.2083333333333333,7.545833333333334,3.333333333333333,3.375,1.9583333333333333,0.0,3.5,1.125,0.5833333333333334,39.708333333333336,66.63168940188878,2014
David Silva,Man City,37,Midfielder,32,2661,12,7,2.0625,2.875,1.59375,1.40625,0.0625,2.3125,1.3125,7.526875000000001,1.4375,0.65625,1.15625,0.0,0.25,1.71875,0.09375,67.0625,85.69431500465983,2014
Phil Jones,Man Utd,31,Defender,22,1879,0,0,0.1363636363636363,0.2272727272727272,0.7272727272727273,1.318181818181818,0.0454545454545454,0.1818181818181818,0.1818181818181818,7.50909090909091,2.363636363636364,3.1818181818181817,1.181818181818182,0.5,7.5,0.6363636363636364,0.2727272727272727,52.77272727272727,85.27131782945736,2014
Morgan Schneiderlin,Southampton,33,Midfielder,26,2188,4,1,1.1923076923076923,0.7692307692307693,0.6153846153846154,0.7307692307692307,0.0384615384615384,0.7692307692307693,0.5769230769230769,7.506153846153849,3.692307692307693,2.576923076923077,1.8461538461538465,0.0,1.6538461538461535,1.3076923076923077,0.1923076923076923,61.15384615384615,89.30817610062893,2014
Nemanja Matic,Chelsea,35,Midfielder,36,3124,1,3,0.8055555555555556,0.6666666666666666,1.5,0.6111111111111112,0.1944444444444444,1.1944444444444444,0.4722222222222222,7.497777777777778,3.555555555555556,2.0277777777777777,1.3055555555555556,0.0833333333333333,3.2777777777777777,2.1666666666666665,0.1944444444444444,63.80555555555556,86.41706573791903,2014
Francis Coquelin,Arsenal,32,Midfielder,22,1663,0,0,0.2272727272727272,0.2272727272727272,1.0,0.7727272727272727,0.0454545454545454,1.1363636363636365,0.5909090909090909,7.468636363636363,3.227272727272727,3.6818181818181817,1.3636363636363635,0.0454545454545454,3.0454545454545454,1.2272727272727273,0.3636363636363636,45.5,85.81418581418582,2014
Victor Moses,Stoke,32,Midfielder,19,1455,3,3,2.1578947368421053,1.6842105263157894,3.3157894736842106,1.8421052631578947,0.1578947368421052,1.8421052631578947,1.947368421052632,7.445263157894736,1.736842105263158,1.1578947368421053,1.0526315789473684,0.0,0.3684210526315789,0.4210526315789473,0.0,21.105263157894736,81.54613466334165,2014
Diego Costa,Chelsea,34,Forward,26,2085,20,3,2.923076923076923,1.5769230769230769,1.0769230769230769,0.9615384615384616,0.9615384615384616,2.6923076923076925,2.1538461538461537,7.429230769230768,0.5,0.1923076923076923,1.2692307692307692,0.0,0.8076923076923077,0.3076923076923077,0.0384615384615384,27.26923076923077,77.43300423131171,2014
Yaya Toure,Man City,40,Midfielder,29,2357,10,1,3.0689655172413794,1.137931034482759,1.7586206896551724,0.6206896551724138,0.0,1.3103448275862069,0.8275862068965517,7.402758620689656,1.0,0.5172413793103449,1.137931034482759,0.0689655172413793,0.7586206896551724,1.0344827586206895,0.1724137931034483,83.13793103448276,88.8842803815844,2014
James Tomkins,West Ham,34,Defender,22,1852,1,3,0.8181818181818182,0.4545454545454545,0.1363636363636363,1.0,0.0,0.0909090909090909,0.1363636363636363,7.401818181818182,2.136363636363636,1.5454545454545454,0.8181818181818182,0.6818181818181818,9.454545454545457,0.5,0.7272727272727273,33.45454545454545,75.27173913043478,2014
Laurent Koscielny,Arsenal,37,Defender,27,2288,3,0,0.2962962962962963,0.074074074074074,0.2592592592592592,0.6296296296296297,0.1111111111111111,0.1851851851851851,0.2962962962962963,7.40037037037037,1.2592592592592593,3.5185185185185186,0.7037037037037037,1.0740740740740742,5.888888888888889,0.5185185185185185,0.6666666666666666,42.851851851851855,88.8504753673293,2014
Federico Fazio,Tottenham,36,Defender,20,1777,0,0,0.55,0.15,0.35,0.35,0.0,0.15,0.5,7.389,1.8,3.4,0.75,1.55,8.25,0.35,1.35,44.65,80.85106382978722,2014
Gael Clichy,Man City,38,Defender,23,2058,1,3,0.3478260869565217,1.1304347826086956,1.0434782608695652,0.391304347826087,0.0869565217391304,0.6521739130434783,0.6521739130434783,7.375217391304349,2.565217391304348,3.391304347826087,0.4782608695652174,0.6086956521739131,3.4347826086956523,0.9565217391304348,0.3478260869565217,59.0,81.50331613854091,2014
Gabriel Paulista,Arsenal,32,Defender,6,349,0,1,0.3333333333333333,0.1666666666666666,0.0,0.3333333333333333,0.0,0.1666666666666666,0.0,7.361666666666667,0.5,3.0,0.5,1.0,7.5,0.1666666666666666,0.8333333333333334,21.666666666666668,85.38461538461539,2014
Boaz Myhill,WBA,40,Goalkeeper,11,934,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.356363636363636,0.0,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0,30.272727272727277,40.54054054054054,2014
Chris Smalling,Man Utd,33,Defender,25,1880,4,0,0.68,0.2,0.64,0.44,0.0,0.32,0.2,7.343999999999999,1.44,2.32,0.96,0.48,6.24,0.24,0.64,48.0,88.58333333333334,2014
Jonas Gutierrez,Newcastle,40,Midfielder,10,634,1,1,1.0,0.5,3.0,1.8,0.0,1.0,0.6,7.342,3.5,1.7,0.9,0.0,1.3,1.0,0.3,25.3,76.6798418972332,2014
Philippe Coutinho,Liverpool,31,Midfielder,35,2801,5,5,2.942857142857143,1.6857142857142855,3.1142857142857143,1.3714285714285714,0.2,1.7428571428571429,2.057142857142857,7.337142857142855,1.7428571428571429,0.4857142857142857,0.7428571428571429,0.0,0.3714285714285714,1.6857142857142855,0.0571428571428571,45.74285714285714,80.1998750780762,2014
Nacho Monreal,Arsenal,37,Defender,28,2311,0,1,0.1428571428571428,0.4285714285714285,0.25,0.6785714285714286,0.0357142857142857,0.0714285714285714,0.3571428571428571,7.332142857142856,2.321428571428572,3.142857142857143,0.8571428571428571,0.2857142857142857,4.428571428571429,0.7142857142857143,0.3571428571428571,44.5,85.553772070626,2014
Ander Herrera,Man Utd,34,Midfielder,26,1869,6,4,1.4230769230769231,1.0,1.0,1.5,0.0769230769230769,0.9615384615384616,0.5384615384615384,7.331153846153849,2.8076923076923075,1.9615384615384608,1.1538461538461535,0.0,0.8461538461538461,1.0769230769230769,0.3076923076923077,59.76923076923077,89.1891891891892,2014
Curtis Davies,Hull,38,Defender,21,1815,0,0,0.5714285714285714,0.0952380952380952,0.238095238095238,0.4761904761904761,0.0,0.0952380952380952,0.2857142857142857,7.324761904761904,1.6666666666666667,3.142857142857143,0.6666666666666666,0.3809523809523809,9.952380952380953,0.7619047619047619,0.8571428571428571,26.80952380952381,85.61278863232683,2014
Aleksandar Kolarov,Man City,37,Defender,21,1486,2,3,1.2857142857142858,1.0952380952380951,0.6666666666666666,0.9047619047619048,0.0952380952380952,0.5714285714285714,0.4761904761904761,7.320476190476189,1.8571428571428568,2.0,1.0952380952380951,0.0476190476190476,1.5238095238095235,0.7142857142857143,0.238095238095238,38.71428571428572,80.56580565805658,2014
Jussi Jaaskelainen,West Ham,48,Goalkeeper,1,27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,46.15384615384615,2014
Harry Kane,Tottenham,30,Forward,34,2582,21,4,3.294117647058824,0.7941176470588235,1.4705882352941178,1.2941176470588236,1.0,2.823529411764706,2.117647058823529,7.280882352941176,1.0294117647058822,0.5,0.9705882352941176,0.0,0.6176470588235294,0.5294117647058824,0.1176470588235294,25.38235294117647,75.20278099652376,2014
Andy Carroll,West Ham,34,Forward,14,1027,5,1,2.642857142857143,0.7857142857142857,0.0714285714285714,1.3571428571428572,0.0714285714285714,1.5,1.7142857142857142,7.279285714285715,0.5,0.5,1.7857142857142858,0.0,1.8571428571428568,0.6428571428571429,0.0,26.071428571428573,61.09589041095891,2014
