Name,Weekly Salary,Base Salary,ADJ Salary,Team,year
Radamel Falcao,285000,14820000,17852178,Manchester United,2014
Angel Di Maria,250000,13000000,15659805,Manchester United,2014
Wayne Rooney,235000,12220000,14720217,Manchester United,2014
Robin van Persie,210000,10920000,13154236,Manchester United,2014
Yaya Toure,190000,9880000,11901452,Manchester City,2014
Eden Hazard,185827,9663000,11640054,Chelsea,2014
John Terry,175000,9100000,10961863,Chelsea,2014
Cesc Fabregas,171481,8917000,10741422,Chelsea,2014
Juan Mata,160000,8320000,10022275,Manchester United,2014
David Silva,160000,8320000,10022275,Manchester City,2014
Sergio Aguero,160000,8320000,10022275,Manchester City,2014
Oscar,150000,7800000,9395883,Chelsea,2014
Diego Costa,150000,7800000,9395883,Chelsea,2014
Vincent Kompany,150000,7800000,9395883,Manchester City,2014
Samir Nasri,150000,7800000,9395883,Manchester City,2014
Steven Gerrard,140000,7280000,8769491,Liverpool,2014
Alexis Sanchez,140000,7280000,8769491,Arsenal,2014
Mesut Ozil,140000,7280000,8769491,Arsenal,2014
Alexandre Song,136769,7112000,8567118,West Ham,2014
Joe Hart,130000,6760000,8143099,Manchester City,2014
Daniel Sturridge,130000,6760000,8143099,Liverpool,2014
Ashley Young,120000,6240000,7516706,Manchester United,2014
Edin Dzeko,120000,6240000,7516706,Manchester City,2014
Danny Welbeck,115000,5980000,7203510,Manchester United,2014
Danny Welbeck,115000,5980000,7203510,Arsenal,2014
Ander Herrera,115000,5980000,7203510,Manchester United,2014
Glen Johnson,110000,5720000,6890314,Liverpool,2014
Aaron Ramsey,110000,5720000,6890314,Arsenal,2014
Pablo Zabaleta,110000,5720000,6890314,Manchester City,2014
Luke Shaw,110000,5720000,6890314,Manchester United,2014
Marcos Rojo,110000,5720000,6890314,Manchester United,2014
Roberto Soldado,105000,5460000,6577118,Tottenham,2014
Mario Balotelli,100000,5200000,6263922,Liverpool,2014
Wilfried Bony,100000,5200000,6263922,Manchester City,2014
Fernando,100000,5200000,6263922,Manchester City,2014
Fernandinho,100000,5200000,6263922,Manchester City,2014
Eliaquim Mangala,100000,5200000,6263922,Manchester City,2014
Theo Walcott,100000,5200000,6263922,Arsenal,2014
Thibaut Courtois,100000,5200000,6263922,Chelsea,2014
Petr Cech,100000,5200000,6263922,Chelsea,2014
Emmanuel Adebayor,100000,5200000,6263922,Tottenham,2014
Michael Carrick,100000,5200000,6263922,Manchester United,2014
Wilfried Bony,100000,5200000,6263922,Swansea,2014
Gael Clichy,95000,4940000,5950726,Manchester City,2014
Frank Lampard,93231,4848000,5839903,Manchester City,2014
Willian,90000,4680000,5637530,Chelsea,2014
Santi Cazorla,90000,4680000,5637530,Arsenal,2014
Laurent Koscielny,90000,4680000,5637530,Arsenal,2014
Marouane Fellaini,90000,4680000,5637530,Manchester United,2014
Per Mertesacker,90000,4680000,5637530,Arsenal,2014
Olivier Giroud,90000,4680000,5637530,Arsenal,2014
Stevan Jovetic,85000,4420000,5324334,Manchester City,2014
Antonio Valencia,85000,4420000,5324334,Manchester United,2014
James Milner,85000,4420000,5324334,Manchester City,2014
Jesus Navas,85000,4420000,5324334,Manchester City,2014
Juan Cuadrado,85000,4420000,5324334,Chelsea,2014
Jermain Defoe,80000,4160000,5011138,Sunderland,2014
Bacary Sagna,80000,4160000,5011138,Manchester City,2014
Branislav Ivanovic,80000,4160000,5011138,Chelsea,2014
Romelu Lukaku,80000,4160000,5011138,Everton,2014
Cesar Azpilicueta,80000,4160000,5011138,Chelsea,2014
Loic Remy,80000,4160000,5011138,Chelsea,2014
Jack Wilshere,80000,4160000,5011138,Arsenal,2014
Gary Cahill,80000,4160000,5011138,Chelsea,2014
Filipe Luis,80000,4160000,5011138,Chelsea,2014
Martin Demichelis,80000,4160000,5011138,Manchester City,2014
Hugo Lloris,80000,4160000,5011138,Tottenham,2014
Didier Drogba,80000,4160000,5011138,Chelsea,2014
Erik Lamela,80000,4160000,5011138,Tottenham,2014
Adam Lallana,80000,4160000,5011138,Liverpool,2014
Loic Remy,80000,4160000,5011138,QPR,2014
Toby Alderweireld,75731,3938000,4743716,Southampton,2014
Lazar Markovic,75000,3900000,4697941,Liverpool,2014
Lucas Leiva,75000,3900000,4697941,Liverpool,2014
Daley Blind,75000,3900000,4697941,Manchester United,2014
Mikel Arteta,75000,3900000,4697941,Arsenal,2014
Philippe Coutinho,75000,3900000,4697941,Liverpool,2014
Nemanja Matic,70000,3640000,4384745,Chelsea,2014
Victor Valdes,70000,3640000,4384745,Manchester United,2014
Jonny Evans,70000,3640000,4384745,Manchester United,2014
Leighton Baines,70000,3640000,4384745,Everton,2014
Dejan Lovren,70000,3640000,4384745,Liverpool,2014
David de Gea,70000,3640000,4384745,Manchester United,2014
Mathieu Debuchy,70000,3640000,4384745,Arsenal,2014
Martin Skrtel,70000,3640000,4384745,Liverpool,2014
Andy Carroll,70000,3640000,4384745,West Ham,2014
Wojciech Szczesny,70000,3640000,4384745,Arsenal,2014
Kolo Toure,70000,3640000,4384745,Liverpool,2014
Paulinho,65000,3380000,4071549,Tottenham,2014
Christian Eriksen,65000,3380000,4071549,Tottenham,2014
Mamadou Sakho,65000,3380000,4071549,Liverpool,2014
Mame Diouf,65000,3380000,4071549,Stoke City,2014
Joey Barton,65000,3380000,4071549,QPR,2014
Rafael,65000,3380000,4071549,Manchester United,2014
Ramires,65000,3380000,4071549,Chelsea,2014
Shaun Wright-Phillips,65000,3380000,4071549,QPR,2014
