Rank,Name,Position,Team,Weekly Salary,year
1.0,Fernando Torres,Forward,CFC,340362,2014
2.0,Wayne Rooney,Forward,MUFC,300000,2014
3.0,Sergio Aguero,Forward,MCFC,220000,2014
3.0,Yaya Toure,Midfielder,MCFC,220000,2014
5.0,Diego Costa,Forward,CFC,185000,2014
6.0,David Silva,Midfielder,MCFC,160000,2014
6.0,Juan Mata,Midfielder,MUFC,160000,2014
8.0,Lukas Podolski,Forward,AFC,157769,2014
9.0,Cesc Fabregas,Midfielder,CFC,156000,2014
10.0,Andre Schurrle,Forward,CFC,152623,2014
11.0,Oscar,Midfielder,CFC,152255,2014
12.0,Eden Hazard,Midfielder,CFC,150000,2014
12.0,Vincent Kompany,Defender,MCFC,150000,2014
12.0,Samir Nasri,Forward,MCFC,150000,2014
15.0,Mesut Ozil,Midfielder,AFC,140000,2014
15.0,Alexis Sanchez,Forward,AFC,140000,2014
17.0,Darren Bent,Forward,AVFC,137769,2014
18.0,Demba Ba,Forward,CFC,137276,2014
19.0,Daniel Sturridge,Forward,LFC,130000,2014
20.0,Mikel Arteta,Midfielder,AFC,125769,2014
21.0,Danny Welbeck,Forward,AFC,125000,2014
22.0,Petr Cech,Goalkeeper,CFC,120000,2014
22.0,Thibaut Courtois,Goalkeeper,CFC,120000,2014
24.0,Joe Hart,Goalkeeper,MCFC,116000,2014
25.0,Ander Herrera,Midfielder,MUFC,115000,2014
26.0,Aaron Ramsey,Midfielder,AFC,110000,2014
26.0,Marcos Rojo,Defender,MUFC,110000,2014
26.0,Luke Shaw,Defender,MUFC,110000,2014
29.0,Wojciech Szczesny,Goalkeeper,AFC,100000,2014
29.0,Theo Walcott,Forward,AFC,100000,2014
29.0,Wilfried Bony,Forward,MCFC,100000,2014
29.0,Fernandinho Luis Roza,Midfielder,MCFC,100000,2014
29.0,Eliaquim Mangala,Defender,MCFC,100000,2014
29.0,Fernando Reges,Midfielder,MCFC,100000,2014
35.0,Jack Wilshere,Midfielder,AFC,90000,2014
35.0,Gary Cahill,Defender,CFC,90000,2014
35.0,Nemanja Matic,Midfielder,CFC,90000,2014
35.0,Loic Remy,Forward,CFC,90000,2014
35.0,Andy Carroll,Forward,WHUFC,90000,2014
40.0,Willian da Silva,Midfielder,CFC,85000,2014
40.0,Antonio Valencia,Defender,MUFC,85000,2014
42.0,Santi Cazorla,Midfielder,AFC,80000,2014
42.0,Olivier Giroud,Forward,AFC,80000,2014
42.0,Aaron Ramsey,Midfielder,AFC,80000,2014
42.0,Romelu Lukaku,Forward,EFC,80000,2014
42.0,Marouane Fellaini,Midfielder,MUFC,80000,2014
42.0,Erik Lamela,Midfielder,THFC,80000,2014
48.0,Mohamed Salah,Forward,CFC,77306,2014
49.0,Charles  N'Zogbia,Midfielder,AVFC,76538,2014
50.0,John Mikel Obi,Midfielder,CFC,75155,2014
51.0,Mathieu Debuchy,Defender,AFC,75000,2014
51.0,Tomas Rosicky,Midfielder,AFC,75000,2014
51.0,Branislav Ivanovic,Defender,CFC,75000,2014
51.0,Lucas Leiva,Midfielder,LFC,75000,2014
51.0,Daley Blind,Defender,MUFC,75000,2014
51.0,David de Gea,Goalkeeper,MUFC,75000,2014
57.0,Thomas Vermaelen,Defender,AFC,70047,2014
58.0,Jermain Defoe,Forward,SUFC,70000,2014
59.0,Aleksandar Kolarov,Defender,MCFC,69000,2014
60.0,Romelu Lukaku,Forward,CFC,68638,2014
61.0,Per Mertesacker,Defender,AFC,65000,2014
61.0,Alex Oxlade Chamberlain,Midfielder,AFC,65000,2014
61.0,Adam Lallana,Midfielder,LFC,65000,2014
61.0,Dejan Lovren,Defender,LFC,65000,2014
61.0,Mame Diouf,Forward,SCFC,65000,2014
66.0,Marko Marin,Midfielder,CFC,62149,2014
67.0,Leighton Baines,Defender,EFC,60923,2014
68.0,Ramires Santos do Nascimento,Midfielder,CFC,60124,2014
69.0,Abou Diaby,Midfielder,AFC,60000,2014
69.0,Laurent Koscielny,Defender,AFC,60000,2014
69.0,Christian Benteke,Forward,AVFC,60000,2014
69.0,Cesar Azpilicueta,Defender,CFC,60000,2014
69.0,Thibaut Courtois,Goalkeeper,CFC,60000,2014
69.0,Adnan Januzaj,Forward,MUFC,60000,2014
69.0,Winston Reid,Defender,WHUFC,60000,2014
76.0,Oriol Romeu,Midfielder,CFC,54222,2014
77.0,Libor Kozak,Forward,AVFC,53365,2014
78.0,Philippe Coutinho,Midfielder,LFC,52500,2014
79.0,Fabian Delph,Midfielder,AVFC,51479,2014
80.0,Brad Guzan,Goalkeeper,AVFC,51407,2014
81.0,John Djourou,Defender,AFC,50034,2014
82.0,Hector Bellerin,Defender,AFC,50000,2014
82.0,Nacho Monreal,Defender,AFC,50000,2014
82.0,Gabriel Agbonlahor,Forward,AVFC,50000,2014
82.0,Victor Moses,Defender,CFC,50000,2014
82.0,Tim Krul,Goalkeeper,NUFC,50000,2014
82.0,Harry Kane,Forward,THFC,50000,2014
82.0,Mark Noble,Midfielder,WHUFC,50000,2014
89.0,Alan Hutton,Defender,AVFC,49038,2014
90.0,Ross Barkley,Midfielder,EFC,48000,2014
91.0,Ron Vlaar,Defender,AVFC,46410,2014
92.0,Kieran Gibbs,Defender,AFC,46000,2014
93.0,Calum Chambers,Defender,AFC,45000,2014
93.0,Kevin Mirallas,Forward,EFC,45000,2014
93.0,Danny Drinkwater,Midfielder,LC,45000,2014
93.0,Emre Can,Midfielder,LFC,45000,2014
93.0,Ryan Shawcross,Defender,SCFC,45000,2014
93.0,Federico Fazio,Defender,THFC,45000,2014
99.0,Federico Fernandez,Defender,SCAFC,43000,2014
100.0,Andreas Andreas Weimann,Forward,AVFC,42899,2014
100.0,Gael Kakuta,Forward,CFC,42899,2014
102.0,Kurt Zouma,Defender,CFC,42308,2014
103.0,Aiden McGeady,Forward,EFC,42000,2014
104.0,Ryan Bertrand,Defender,CFC,40083,2014
105.0,David Ospina,Goalkeeper,AFC,40000,2014
105.0,Alberto Moreno,Defender,LFC,40000,2014
105.0,Siem de Jong,Midfielder,NUFC,40000,2014
105.0,Enner Valencia,Forward,WHUFC,40000,2014
109.0,Jores Okore,Defender,AVFC,39904,2014
110.0,Seamus Coleman,Defender,EFC,38000,2014
111.0,Shay Given,Goalkeeper,AVFC,37692,2014
112.0,Sung-Yeung Ki,Midfielder,SCAFC,36000,2014
112.0,Wayne Routledge,Midfielder,SCAFC,36000,2014
114.0,Andrew Surman,Midfielder,BOU,35000,2014
114.0,Fraizer Campbell,Forward,CP,35000,2014
114.0,Lazar Markovic,Forward,LFC,35000,2014
114.0,Vurnon Anita,Defender,NUFC,35000,2014
114.0,Jack Colback,Midfielder,NUFC,35000,2014
114.0,Yoan Gouffran,Midfielder,NUFC,35000,2014
114.0,Emmanuel Riviere,Forward,NUFC,35000,2014
114.0,Jack Cork,Midfielder,SCAFC,35000,2014
122.0,Stephen Ireland,Midfielder,SCFC,33000,2014
123.0,Kyle Naughton,Defender,SCAFC,32000,2014
124.0,Phil Bardsley,Defender,SCFC,31000,2014
125.0,Karim El Ahmadi,Midfielder,AVFC,30769,2014
126.0,Josh McEachran,Midfielder,CFC,30062,2014
127.0,Joel Campbell,Forward,AFC,30000,2014
127.0,Francis Coquelin,Midfielder,AFC,30000,2014
127.0,Carl Jenkinson,Defender,AFC,30000,2014
127.0,Andreas Weimann,Forward,AVFC,30000,2014
127.0,Raheem Sterling,Forward,LFC,30000,2014
