No,Name,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,year
619,Sergio Aguero,Manchester City,33,2551,26,21,8,25.27,20.7,5.57,27.81,6.88,0.89,0.73,0.2,1.09,0.93,0.98,0.24,2014
647,Harry Kane,Tottenham,34,2589,21,19,4,17.16,14.87,3.92,16.49,5.55,0.6,0.52,0.14,0.73,0.65,0.57,0.19,2014
802,Diego Costa,Chelsea,26,2111,20,19,3,15.22,14.46,4.55,21.37,5.28,0.65,0.62,0.19,0.84,0.81,0.91,0.22,2014
848,Charlie Austin,Queens Park Rangers,35,3078,18,15,5,17.88,14.08,2.55,13.72,3.04,0.52,0.41,0.07,0.6,0.49,0.4,0.09,2014
498,Alexis Sanchez,Arsenal,35,2967,16,16,8,13.45,12.69,8.49,27.16,10.74,0.41,0.38,0.26,0.67,0.64,0.82,0.33,2014
502,Olivier Giroud,Arsenal,27,1871,14,14,3,8.85,8.85,3.86,13.64,4.13,0.43,0.43,0.19,0.61,0.61,0.66,0.2,2014
701,Eden Hazard,Chelsea,38,3389,14,11,9,12.02,8.97,11.24,31.84,19.48,0.32,0.24,0.3,0.62,0.54,0.85,0.52,2014
811,Saido Berahino,West Bromwich Albion,38,2940,14,10,1,13.84,10.8,1.96,11.91,2.44,0.42,0.33,0.06,0.48,0.39,0.36,0.07,2014
606,Christian Benteke,Aston Villa,29,2380,13,12,2,8.46,7.69,2.92,8.73,2.2,0.32,0.29,0.11,0.43,0.4,0.33,0.08,2014
617,David Silva,Manchester City,32,2682,12,12,7,9.1,9.1,10.39,29.14,16.63,0.31,0.31,0.35,0.65,0.65,0.98,0.56,2014
629,Wayne Rooney,Manchester United,33,2887,12,11,5,8.9,7.38,3.98,15.44,7.3,0.28,0.23,0.12,0.4,0.35,0.48,0.23,2014
841,Graziano Pelle,Southampton,38,3291,12,12,2,18.62,18.62,4.48,24.79,5.6,0.51,0.51,0.12,0.63,0.63,0.68,0.15,2014
622,Wilfried Bony,Manchester City,30,1604,11,10,3,10.45,9.69,3.51,14.25,4.41,0.59,0.54,0.2,0.78,0.74,0.8,0.25,2014
648,Nacer Chadli,Tottenham,35,2423,11,11,5,6.87,6.87,3.94,15.64,8.63,0.26,0.26,0.15,0.4,0.4,0.58,0.32,2014
756,Leonardo Ulloa,Leicester,37,2434,11,9,3,8.92,7.4,3.79,9.96,2.51,0.33,0.27,0.14,0.47,0.41,0.37,0.09,2014
850,Papiss Cisse,Newcastle United,22,1137,11,10,1,8.96,8.2,0.33,7.44,0.62,0.71,0.65,0.03,0.74,0.68,0.59,0.05,2014
868,Mame Diouf,Stoke,34,2451,11,11,3,11.65,11.65,3.47,13.6,0.86,0.43,0.43,0.13,0.55,0.55,0.5,0.03,2014
986,Danny Ings,Burnley,35,3048,11,10,4,12.29,11.53,4.24,16.56,2.83,0.36,0.34,0.13,0.49,0.47,0.49,0.08,2014
594,Romelu Lukaku,Everton,36,2880,10,8,5,12.43,10.91,2.35,15.74,5.08,0.39,0.34,0.07,0.46,0.41,0.49,0.16,2014
646,Christian Eriksen,Tottenham,38,3160,10,10,2,7.39,7.39,6.09,21.32,13.02,0.21,0.21,0.17,0.38,0.38,0.61,0.37,2014
656,Diafra Sakho,West Ham,23,1765,10,10,2,9.07,9.07,2.62,9.08,0.91,0.46,0.46,0.13,0.6,0.6,0.46,0.05,2014
838,Sadio Mane,Southampton,30,2142,10,10,3,8.55,8.55,3.98,14.57,4.03,0.36,0.36,0.17,0.53,0.53,0.61,0.17,2014
878,Yaya Toure,Manchester City,29,2358,10,8,1,7.11,5.59,3.24,26.02,20.9,0.27,0.21,0.12,0.4,0.34,0.99,0.8,2014
4387,Robin van Persie,Manchester United,27,2126,10,9,2,11.6,10.08,2.99,12.92,1.69,0.49,0.43,0.13,0.62,0.55,0.55,0.07,2014
554,Juan Mata,Manchester United,33,2318,9,8,4,6.6,5.84,4.97,14.52,7.05,0.26,0.23,0.19,0.45,0.42,0.56,0.27,2014
4408,Steven Gerrard,Liverpool,28,2239,9,5,1,7.11,3.3,3.21,8.18,5.59,0.29,0.13,0.13,0.41,0.26,0.33,0.22,2014
723,Ki Sung-Yueng,Swansea,33,2692,8,8,1,4.33,4.33,1.26,11.96,9.0,0.14,0.14,0.04,0.19,0.19,0.4,0.3,2014
863,Jonathan Walters,Stoke,32,2439,8,8,4,5.56,5.56,3.24,9.58,2.67,0.21,0.21,0.12,0.32,0.32,0.35,0.1,2014
872,Peter Crouch,Stoke,33,1648,8,8,2,6.73,6.73,1.88,9.37,3.59,0.37,0.37,0.1,0.47,0.47,0.51,0.2,2014
940,Nikica Jelavic,Hull,26,1815,8,8,1,4.89,4.89,0.86,5.71,1.09,0.24,0.24,0.04,0.29,0.29,0.28,0.05,2014
595,Kevin Mirallas,Everton,29,1430,7,7,1,4.72,3.96,1.59,6.5,2.28,0.3,0.25,0.1,0.4,0.35,0.41,0.14,2014
618,Raheem Sterling,Liverpool,35,3059,7,7,7,8.79,8.79,6.04,18.2,5.5,0.26,0.26,0.18,0.44,0.44,0.54,0.16,2014
690,Loic Remy,Chelsea,21,839,7,7,0,4.66,4.66,0.61,5.65,1.65,0.5,0.5,0.06,0.56,0.56,0.61,0.18,2014
714,Gylfi Sigurdsson,Swansea,32,2721,7,7,10,5.18,5.18,8.45,15.55,7.12,0.17,0.17,0.28,0.45,0.45,0.51,0.24,2014
717,Bafetimbi Gomis,Swansea,31,1619,7,7,0,7.5,7.5,0.89,7.25,1.54,0.42,0.42,0.05,0.47,0.47,0.4,0.09,2014
770,Ayoze Perez,Newcastle United,36,2369,7,7,0,5.75,5.75,2.9,9.57,3.02,0.22,0.22,0.11,0.33,0.33,0.36,0.11,2014
873,Charlie Adam,Stoke,29,1482,7,6,1,3.41,2.65,2.65,6.18,3.74,0.21,0.16,0.16,0.37,0.32,0.38,0.23,2014
882,Glenn Murray,Crystal Palace,17,859,7,6,3,9.53,8.01,1.53,5.49,0.82,1.0,0.84,0.16,1.16,1.0,0.57,0.09,2014
965,Santi Cazorla,Arsenal,37,2999,7,1,11,10.59,6.02,9.76,24.66,16.91,0.32,0.18,0.29,0.61,0.47,0.74,0.51,2014
504,Aaron Ramsey,Arsenal,29,2013,6,6,6,6.64,6.64,5.3,16.72,8.17,0.3,0.3,0.24,0.53,0.53,0.75,0.37,2014
514,Jason Puncheon,Crystal Palace,37,2823,6,6,7,2.79,2.79,5.31,8.86,4.62,0.09,0.09,0.17,0.26,0.26,0.28,0.15,2014
552,Ander Herrera,Manchester United,26,1877,6,6,4,2.04,2.04,2.12,11.65,8.67,0.1,0.1,0.1,0.2,0.2,0.56,0.42,2014
605,Jordan Henderson,Liverpool,37,3253,6,5,9,4.29,3.53,6.79,16.31,8.8,0.12,0.1,0.19,0.31,0.29,0.45,0.24,2014
630,Marouane Fellaini,Manchester United,27,1824,6,6,0,5.31,5.31,1.15,9.25,4.7,0.26,0.26,0.06,0.32,0.32,0.46,0.23,2014
692,Oscar,Chelsea,28,2072,6,6,8,6.54,6.54,5.22,15.8,7.15,0.28,0.28,0.23,0.51,0.51,0.69,0.31,2014
711,Leroy Fer,Queens Park Rangers,29,2375,6,6,2,5.12,5.12,3.59,10.68,4.39,0.19,0.19,0.14,0.33,0.33,0.4,0.17,2014
824,Steven Naismith,Everton,31,2051,6,6,0,3.95,3.95,1.94,7.2,2.95,0.17,0.17,0.09,0.26,0.26,0.32,0.13,2014
890,Gabriel Agbonlahor,Aston Villa,34,2698,6,6,1,5.63,5.63,1.55,8.04,1.66,0.19,0.19,0.05,0.24,0.24,0.27,0.06,2014
1712,Stewart Downing,West Ham,37,3315,6,6,8,4.14,4.14,6.63,13.64,7.33,0.11,0.11,0.18,0.29,0.29,0.37,0.2,2014
4418,Frank Lampard,Manchester City,32,958,6,6,1,4.0,4.0,0.95,11.04,7.29,0.38,0.38,0.09,0.47,0.47,1.04,0.69,2014
